行政區,類型,學校,2歲,3歲,4歲,5歲,3-5歲,簡章下載,電話
七股區,公幼,三股國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%89%E8%82%A1%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7880744#20,
七股區,公幼,竹橋國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%AB%B9%E6%A9%8B%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7891041#13,
七股區,公幼,後港國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%BE%8C%E6%B8%AF%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7941305#29,
七股區,公幼,篤加國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%AF%A4%E5%8A%A0%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7872536#31,
七股區,公幼,七股國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%83%E8%82%A1%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7872076#290,
七股區,非營利,七農非營利幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%83%E8%BE%B2%E9%9D%9E%E7%87%9F%E5%88%A9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7875320,
下營區,公幼,下營國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%8B%E7%87%9F%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6892181#312,
下營區,公幼,中營國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%AD%E7%87%9F%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6892600,
下營區,公幼,東興國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%9D%B1%E8%88%88%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6892478#914,
下營區,公幼,賀建國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%B3%80%E5%BB%BA%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6891109#20,
下營區,準公共,小圓圓幼兒園,32,8,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%B0%8F%E5%9C%93%E5%9C%93%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6893112,
大內區,公幼,大內國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A7%E5%85%A7%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5761007#8181,
大內區,公幼,二溪國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BA%8C%E6%BA%AA%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5762001#210,
山上區,公幼,山上國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%B1%B1%E4%B8%8A%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5781203#821,
中西區,公幼,臺南市立第一幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AB%8B%E7%AC%AC%E4%B8%80%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2135779,
中西區,公幼,成功國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%88%90%E5%8A%9F%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3588635#712,
中西區,公幼,忠義國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%BF%A0%E7%BE%A9%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2293987#804,
中西區,公幼,進學國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%80%B2%E5%AD%B8%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2130643,
中西區,公幼,協進國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%8D%94%E9%80%B2%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2202173#10,
中西區,公幼,中山國中附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%AD%E5%B1%B1%E5%9C%8B%E4%B8%AD%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2134792#146,
中西區,準公共,衛理幼兒園,22,13,2,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%A1%9B%E7%90%86%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2141722,
中西區,準公共,佳恩幼兒園,29,8,6,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BD%B3%E6%81%A9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2952628,
中西區,準公共,武聖幼兒園,16,9,6,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%AD%A6%E8%81%96%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2593083,
中西區,準公共,新大華幼兒園,5,9,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%96%B0%E5%A4%A7%E8%8F%AF%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2145176,
中西區,準公共,愛迪生資優幼兒園,31,17,5,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%84%9B%E8%BF%AA%E7%94%9F%E8%B3%87%E5%84%AA%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3584200,
仁德區,公幼,德南國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%BE%B7%E5%8D%97%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2794772#851,
仁德區,公幼,依仁國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BE%9D%E4%BB%81%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2662108#701,
仁德區,公幼,大甲國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A7%E7%94%B2%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2662492#201,
仁德區,公幼,臺南市立仁德幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AB%8B%E4%BB%81%E5%BE%B7%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2796114#29,
仁德區,公幼,仁和國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BB%81%E5%92%8C%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2681927#602,
仁德區,公幼,長興國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%95%B7%E8%88%88%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2723986#511,
仁德區,公幼,文賢國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%96%87%E8%B3%A2%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2661260#232,
仁德區,準公共,明日之星幼兒園,22,4,3,4,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%98%8E%E6%97%A5%E4%B9%8B%E6%98%9F%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2796855,
仁德區,準公共,初日幼兒園,48,1,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%88%9D%E6%97%A5%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2666743,
仁德區,準公共,仁義幼兒園,13,6,1,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BB%81%E7%BE%A9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2794392,
仁德區,準公共,聖母幼兒園,27,28,13,9,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%81%96%E6%AF%8D%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2715103,
仁德區,準公共,大宗幼兒園,12,12,4,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A7%E5%AE%97%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2704029,
仁德區,準公共,鴻仁幼兒園,12,7,16,8,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%B4%BB%E4%BB%81%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2723511,
仁德區,準公共,仁德聖兒幼兒園,24,7,1,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BB%81%E5%BE%B7%E8%81%96%E5%85%92%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2667832,
仁德區,準公共,熊寶寶幼兒園,6,9,9,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%86%8A%E5%AF%B6%E5%AF%B6%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2901357,
仁德區,準公共,洧昇幼兒園,11,9,16,16,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B4%A7%E6%98%87%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2706355,
六甲區,公幼,六甲國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%85%AD%E7%94%B2%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6982041#208,
六甲區,公幼,林鳳國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%9E%97%E9%B3%B3%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6983583#117,
六甲區,公幼,嘉南國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%98%89%E5%8D%97%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6982491#101,
六甲區,準公共,佑幼幼兒園,15,10,3,6,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BD%91%E5%B9%BC%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6989651,
六甲區,準公共,哈比斯特幼兒園,7,11,8,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%93%88%E6%AF%94%E6%96%AF%E7%89%B9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6984678,
六甲區,準公共,安心幼兒園,25,1,10,9,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%AE%89%E5%BF%83%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6994517,
北門區,公幼,雙春國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%9B%99%E6%98%A5%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7863141#20,
北門區,公幼,北門國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%8C%97%E9%96%80%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7862035#10,
北門區,公幼,蚵寮國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%9A%B5%E5%AF%AE%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7863250#17,
北門區,公幼,錦湖國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%8C%A6%E6%B9%96%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7863454#26,
北門區,準公共,北門區農會附設幼兒園,16,11,8,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%8C%97%E9%96%80%E5%8D%80%E8%BE%B2%E6%9C%83%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-7860472,
北區,公幼,臺南市立小康幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AB%8B%E5%B0%8F%E5%BA%B7%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2815947,
北區,公幼,立人國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%AB%8B%E4%BA%BA%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2286683#101,
北區,公幼,開元國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%96%8B%E5%85%83%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2375509#801,
北區,公幼,大光國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A7%E5%85%89%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2518465#122,
北區,公幼,公園國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%85%AC%E5%9C%92%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2223291#780,
北區,公幼,文元國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%96%87%E5%85%83%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3586942#808,
北區,公幼,大港國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A7%E6%B8%AF%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2505489,
北區,公幼,賢北國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%B3%A2%E5%8C%97%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3501433#700,
