行政區,類型,學校,2歲,3歲,4歲,5歲,3-5歲,電話
七股區,公幼,三股國小附設幼兒園,7,,,,,
七股區,公幼,竹橋國小附設幼兒園,,,,,5,
七股區,公幼,後港國小附設幼兒園,,,,,7,
七股區,公幼,篤加國小附設幼兒園,,,,,4,
七股區,公幼,七股國小附設幼兒園,,,,,,
七股區,非營利,七農非營利幼兒園,3,,,,3,
下營區,公幼,下營國小附設幼兒園,,,,,18,
下營區,公幼,中營國小附設幼兒園,1,,,,,
下營區,公幼,東興國小附設幼兒園,,,,,,
下營區,公幼,賀建國小附設幼兒園,,,,,,
下營區,準公共,小圓圓幼兒園,,,,,,
大內區,公幼,大內國小附設幼兒園,,,,,,
大內區,公幼,二溪國小附設幼兒園,,,,,5,
山上區,公幼,山上國小附設幼兒園,,,,,,
中西區,公幼,臺南市立第一幼兒園,,,,,15,
中西區,公幼,成功國小附設幼兒園,,,,,31,
中西區,公幼,忠義國小附設幼兒園,,,,,,
中西區,公幼,進學國小附設幼兒園,,,,,7,
中西區,公幼,協進國小附設幼兒園,4,,,,,
中西區,公幼,中山國中附設幼兒園,,,,,15,
中西區,準公共,衛理幼兒園,4,6,2,,,
中西區,準公共,佳恩幼兒園,4,3,5,,,
中西區,準公共,武聖幼兒園,7,7,6,,,
中西區,準公共,新大華幼兒園,5,9,,,,
中西區,準公共,愛迪生資優幼兒園,,3,,1,,
仁德區,公幼,德南國小附設幼兒園,7,,,,,
仁德區,公幼,依仁國小附設幼兒園,,,,,10,
仁德區,公幼,大甲國小附設幼兒園,,,,,6,
仁德區,公幼,臺南市立仁德幼兒園,21,,,,,
仁德區,公幼,仁和國小附設幼兒園,,,,,9,
仁德區,公幼,長興國小附設幼兒園,6,,,,,
仁德區,公幼,文賢國小附設幼兒園,4,,,,1,
仁德區,準公共,明日之星幼兒園,1,,2,4,,
仁德區,準公共,初日幼兒園,,,,,,
仁德區,準公共,仁義幼兒園,9,5,1,,,
仁德區,準公共,聖母幼兒園,21,24,12,8,,
仁德區,準公共,大宗幼兒園,2,10,3,1,,
仁德區,準公共,鴻仁幼兒園,8,7,16,8,,
仁德區,準公共,仁德聖兒幼兒園,14,3,,,,
仁德區,準公共,熊寶寶幼兒園,,8,9,,,
仁德區,準公共,洧昇幼兒園,9,8,16,16,,
六甲區,公幼,六甲國小附設幼兒園,,,,,6,
六甲區,公幼,林鳳國小附設幼兒園,,,,,3,
六甲區,公幼,嘉南國小附設幼兒園,,,,,8,
六甲區,準公共,佑幼幼兒園,9,7,3,6,,
六甲區,準公共,哈比斯特幼兒園,7,11,7,1,,
六甲區,準公共,安心幼兒園,23,,9,9,,
北門區,公幼,北門國小附設幼兒園,,,,,,
北門區,公幼,蚵寮國小附設幼兒園,,,,,11,
北門區,公幼,錦湖國小附設幼兒園,,,,,4,
北門區,準公共,北門區農會附設幼兒園,12,10,5,,,
北區,公幼,臺南市立小康幼兒園,3,,,,,
北區,公幼,立人國小附設幼兒園,,,,,,
北區,公幼,開元國小附設幼兒園,,,,,15,
北區,公幼,大光國小附設幼兒園,7,,,,7,
北區,公幼,公園國小附設幼兒園,,,,,1,
北區,公幼,文元國小附設幼兒園,,,,,,
北區,公幼,大港國小附設幼兒園,,,,,,
北區,公幼,賢北國小附設幼兒園,,,,,7,
北區,準公共,開元幼兒園,8,13,10,8,,
北區,準公共,正覺幼兒園,38,14,23,10,,
北區,準公共,而勇幼兒園,,26,8,1,,
北區,準公共,皇佳幼兒園,3,,19,10,,
北區,準公共,柏欣幼兒園,13,13,10,,,
北區,準公共,樂兒學幼兒園,3,,,,,
北區,準公共,崑山高中附設臺南市國際幼兒園,,,,,,
北區,準公共,哈波特幼兒園,56,44,63,19,,
北區,準公共,德妮湖美幼兒園,,,,,,
北區,準公共,康德爾幼兒園,5,4,4,1,,
北區,準公共,沛愛幼兒園,3,9,3,,,
北區,準公共,群力幼兒園,1,12,7,,,
北區,準公共,葛瑞特幼兒園,13,9,8,,,
北區,準公共,天資幼兒園,9,24,25,14,,
北區,準公共,向日葵幼兒園,14,37,25,6,,
左鎮區,公幼,左鎮國小附設幼兒園,,,,,,
左鎮區,公幼,光榮實驗小學附設幼兒園,,,,,3,
永康區,公幼,永康勝利國小附設幼兒園,,,,,,
永康區,公幼,永康國小附設幼兒園,,,,,38,
永康區,公幼,大灣國小附設幼兒園,2,,,,,
永康區,公幼,西勢國小附設幼兒園,,,,,2,
永康區,公幼,永康復興國小附設幼兒園,,,,,1,
永康區,公幼,龍潭國小附設幼兒園,,,,,13,
永康區,公幼,大橋國小附設幼兒園,,,,,8,
永康區,公幼,崑山國小附設幼兒園,,,,,3,
永康區,公幼,五王國小附設幼兒園,,,,,,
永康區,公幼,三村國小附設幼兒園,,,,,,
永康區,公幼,永信國小附設幼兒園,,,,,21,
永康區,非營利,永仁非營利幼兒園,2,,,,0,
永康區,準公共,資優生幼兒園,,,,,,
永康區,準公共,卓越幼兒園,,,,,,
永康區,準公共,青蘋果幼兒園,,13,19,3,,
永康區,準公共,聖心幼兒園,3,16,13,14,,
永康區,準公共,輔仁幼兒園,,,,,,
永康區,準公共,愛幼幼兒園,13,2,,1,,
永康區,準公共,中華幼兒園,3,17,12,10,,
永康區,準公共,幼華幼兒園,,,2,,,
永康區,準公共,艾迪斯幼兒園,,,6,9,,
永康區,準公共,上恩幼兒園,2,22,7,10,,
永康區,準公共,幼幼世界幼兒園,,,,,,
永康區,準公共,永康文心幼兒園,,,4,,,
永康區,準公共,永強繪本藝術幼兒園,,5,,,,
永康區,準公共,育智幼兒園,,,13,,,
永康區,準公共,非凡幼兒園,,,,,,
永康區,準公共,英格堡幼兒園,,,,,,
永康區,準公共,萊恩幼兒園,,,8,1,,
永康區,準公共,派樂特幼兒園,31,37,30,1,,
永康區,準公共,敦煌幼兒園,1,,,,,
永康區,準公共,智全幼兒園,,,8,,,
永康區,準公共,新生代幼兒園,4,9,3,4,,
永康區,準公共,傑登幼兒園,,,,,,
永康區,準公共,至真幼兒園,,16,9,1,,
永康區,準公共,吉得堡幼兒園,2,8,6,4,,
永康區,準公共,凱迪斯幼兒園,1,4,7,,,
永康區,準公共,優學幼兒園,8,2,,1,,
永康區,準公共,童園幼兒園,18,24,5,2,,
永康區,準公共,傑尼爾幼兒園,11,12,28,,,
永康區,準公共,第一堡幼兒園,15,22,4,,,
永康區,準公共,愛森堡幼兒園,16,21,9,,,
永康區,準公共,星堡幼兒園,,,,,,
永康區,準公共,英格爾幼兒園,,,,,,
玉井區,公幼,層林國小附設幼兒園,,,,,2,
玉井區,公幼,玉井國小附設幼兒園,2,,,,3,
玉井區,準公共,貝兒幼兒園,,,2,,,
玉井區,準公共,德蕾幼兒園,15,6,4,4,,
玉井區,準公共,玉沙幼兒園,19,13,5,5,,
白河區,公幼,竹門國小附設幼兒園,,,,,2,
白河區,公幼,白河國小附設幼兒園,2,,,,,
白河區,公幼,玉豐國小附設幼兒園,,,,,,
白河區,公幼,內角國小附設幼兒園,,,,,4,
白河區,公幼,河東國小附設幼兒園,,,,,3,
白河區,公幼,大竹國小附設幼兒園,,,,,,
白河區,公幼,仙草實驗小學附設幼兒園,,,,,,
白河區,準公共,金典幼兒園,17,21,11,1,,
白河區,準公共,舉人幼兒園,6,6,4,2,,
白河區,準公共,日光幼兒園,6,6,5,,,
安平區,公幼,安平國小附設幼兒園,5,,,,,
安平區,公幼,臺南市立第三幼兒園,,,,,,
安平區,公幼,新南國小附設幼兒園,,,,,,
安平區,公幼,石門國小附設幼兒園,,,,,3,
安平區,公幼,億載國小附設幼兒園,,,,,,
安平區,非營利,市政府員工子女非營利幼兒園,11,11,16,12,,
安平區,準公共,立家幼兒園,,1,3,1,,
安平區,準公共,喬登幼兒園,2,3,1,,,
安平區,準公共,傑仕堡幼兒園,,,,2,,
安平區,準公共,聖德幼兒園,19,2,2,3,,
安平區,準公共,金城幼兒園,6,5,12,,,
安平區,準公共,安平精英幼兒園,,,,1,,
安平區,準公共,德妮培安幼兒園,,,,,,
安平區,準公共,魔荳幼兒園,,,,,,
安定區,公幼,安定國小附設幼兒園,,,,,4,
安定區,公幼,南安國小附設幼兒園,3,,,,6,
安定區,公幼,安定南興國小附設幼兒園,,,,,10,
安定區,準公共,直加弄非營利幼兒園,,2,,1,,
安定區,準公共,小博士幼兒園,5,,,,,
安定區,準公共,倍幼安幼兒園,11,4,3,4,,
安南區,公幼,臺南市立第四幼兒園,,,,,,
安南區,公幼,臺南市立第四幼兒園安順分班,,,,,,
安南區,公幼,臺南市立第四幼兒園州南分班,,,,,1,
安南區,公幼,臺南市立第四幼兒園大同分班,,,,,,
安南區,公幼,臺南市立第六幼兒園,4,,,,,
安南區,公幼,臺南市立第六幼兒園城南分班,3,,,,1,
安南區,公幼,和順國小附設幼兒園,3,,,,,
安南區,公幼,海東國小附設幼兒園,,,,,,
安南區,公幼,安慶國小附設幼兒園,1,,,,4,
安南區,公幼,安順國小附設幼兒園,,,,,11,
安南區,公幼,顯宮國小附設幼兒園,,,,,,
安南區,公幼,青草國小附設幼兒園,,,,,11,
安南區,公幼,安佃國小附設幼兒園,,,,,8,
安南區,公幼,鎮海國小附設幼兒園,,,,,2,
安南區,公幼,長安國小附設幼兒園,,,,,,
安南區,公幼,土城國小附設幼兒園,,,,,4,
安南區,公幼,學東國小附設幼兒園,,,,,2,
安南區,公幼,海佃國中附設幼兒園,,,,,5,
安南區,公幼,南興國小附設幼兒園,,,,,1,
安南區,公幼,九份子國中小附設幼兒園,,,,,,
安南區,非營利,崑山土城非營利幼兒園,0,,,,8,
安南區,非營利,中信員工子女非營利幼兒園,17,,,,38,
安南區,準公共,光漢幼兒園,,38,24,,,
安南區,準公共,貝思樂人文藝術幼兒園,,,,,,
安南區,準公共,愛森國際幼兒園,,,,9,,
安南區,準公共,樂耕幼兒園,,12,3,,,
安南區,準公共,和順幼兒園,,10,10,1,,
安南區,準公共,南光幼兒園,28,5,18,4,,
安南區,準公共,意文幼兒園,,7,,1,,
安南區,準公共,娘親幼兒園,25,15,6,3,,
安南區,準公共,佑佳幼兒園,6,,9,,,
安南區,準公共,康橋幼兒園,,,2,,,
安南區,準公共,聖恩幼兒園,11,5,4,4,,
安南區,準公共,巧可碩幼兒園,,5,,2,,
安南區,準公共,才碩幼兒園,11,2,7,11,,
安南區,準公共,大舜科技幼兒園,13,14,3,6,,
安南區,準公共,萊德幼兒園,,,,,,
安南區,準公共,台江幼兒園,,17,10,,,
安南區,準公共,朝陽幼兒園,16,13,12,,,
安南區,準公共,佛光山慈航幼兒園,,,3,4,,
安南區,準公共,愛因斯坦資優幼兒園,,,2,,,
安南區,準公共,愛上學幼兒園,,,,,,
安南區,準公共,小孔明創客幼兒園,,13,5,,,
安南區,準公共,保進國際藝術幼兒園,7,3,1,11,,
安南區,準公共,安南幼兒園,,,3,2,,
安南區,準公共,安南幼兒園安南分班,,,,,,
安南區,準公共,安南幼兒園安中分班,,,,,,
安南區,準公共,至德幼兒園,15,7,16,5,,
安南區,準公共,安琪兒幼兒園,22,23,25,2,,
安南區,準公共,華德幼兒園,,,16,,,
安南區,準公共,達文西幼兒園,,,2,1,,
西港區,公幼,西港國小附設幼兒園,,,,,,
西港區,公幼,西港成功國小附設幼兒園,,,,,,
西港區,公幼,後營國小附設幼兒園,,,,,8,
西港區,公幼,港東國小附設幼兒園,,,,,10,
西港區,準公共,福祺幼兒園,,,,,,
西港區,準公共,吉姆大秝荳幼兒園,10,5,4,,,
西港區,準公共,哈佛人文藝術幼兒園,,,,,,
佳里區,公幼,通興國小附設幼兒園,,,,,,
佳里區,公幼,佳里國小附設幼兒園,,,,,,
佳里區,公幼,佳興國小附設幼兒園,,,,,,
佳里區,公幼,仁愛國小附設幼兒園,,,,,14,
佳里區,公幼,延平國小附設幼兒園,,,,,4,
佳里區,公幼,子龍國小附設幼兒園,,,,,1,
佳里區,公幼,塭內國小附設幼兒園,,,,,,
佳里區,公幼,信義國小附設幼兒園,,,,,4,
佳里區,非營利,伯利恆佳里非營利幼兒園,0,12,0,0,,
佳里區,準公共,佳佳幼兒園,,,3,,,
佳里區,準公共,聖三幼兒園,4,,6,,,
佳里區,準公共,立人幼兒園,,,2,1,,
佳里區,準公共,泑潛幼兒園,,,12,1,,
佳里區,準公共,佳里崧安幼兒園,,,1,2,,
佳里區,準公共,佳里劍橋幼兒園,,,,,,
佳里區,準公共,威爾森佳里幼兒園,,,,,,
官田區,公幼,官田國小附設幼兒園,,,,,,
官田區,公幼,渡拔國小附設幼兒園,,,,,,
官田區,公幼,隆田國小附設幼兒園,,,,,,
東山區,公幼,東山國小附設幼兒園,6,,,,,
東山區,公幼,東原國小附設幼兒園,,,,,6,
東山區,公幼,青山國小附設幼兒園,,,,,4,
東山區,公幼,吉貝耍國小附設幼兒園,,,,,6,
東山區,公幼,聖賢國小附設幼兒園,,,,,4,
東山區,準公共,領袖學院慈仁幼兒園,21,5,3,2,,
東區,公幼,博愛國小附設幼兒園,7,,,,11,
東區,公幼,崇明國小附設幼兒園,,,,,,
東區,公幼,崇學國小附設幼兒園,,,,,,
東區,公幼,復興國小附設幼兒園,,,,,4,
東區,公幼,大同國小附設幼兒園,,,,,,
東區,公幼,德高國小附設幼兒園,,,,,13,
東區,公幼,勝利國小附設幼兒園,,,,,9,
東區,公幼,東光國小附設幼兒園,,,,,,
東區,公幼,忠孝國中附設幼兒園,,,,,,
東區,非營利,全人裕文非營利幼兒園,0,0,20,41,,
東區,非營利,臺灣文學館員工子女非營利幼兒園,0,,,,28,
東區,非營利,成大員工子女非營利幼兒園,0,,,,0,
東區,準公共,耶魯幼兒園,12,27,18,6,,
東區,準公共,傑尼爾至善幼兒園,,14,10,4,,
東區,準公共,輔大幼兒園,,7,2,,,
東區,準公共,文林幼兒園,33,44,35,2,,
東區,準公共,威爾森德高幼兒園,,29,12,19,,
東區,準公共,劍聲國際幼兒園,,12,12,11,,
東區,準公共,伊凡卡幼兒園,,2,3,1,,
東區,準公共,維多利亞人文藝術幼兒園,14,,4,7,,
東區,準公共,新世代人文藝術幼兒園,5,12,4,,,
東區,準公共,後甲幼兒園,,,,,,
東區,準公共,小太陽幼兒園,19,10,9,6,,
東區,準公共,崇德幼兒園,,,,2,,
東區,準公共,德妮勁寶兒幼兒園,,,,,,
東區,準公共,傑尼爾富農幼兒園,3,3,8,5,,
東區,準公共,童話世界幼兒園,7,22,14,1,,
東區,準公共,劍聲幼兒園,,4,1,,,
東區,準公共,威斯康辛幼兒園,21,8,8,8,,
東區,準公共,愛麗兒幼兒園,6,1,,,,
東區,準公共,仁和幼兒園,2,,,,,
東區,準公共,德光幼兒園,,32,14,9,,
東區,準公共,牧群幼兒園,,2,7,2,,
南化區,公幼,南化國小附設幼兒園,,,,,6,
南化區,公幼,北寮國小附設幼兒園,,,,,6,
南化區,公幼,瑞峰國小附設幼兒園,,,,,5,
南區,公幼,喜樹國小附設幼兒園,6,,,,6,
南區,公幼,臺南市立第二幼兒園,,,,,22,
南區,公幼,臺南市立第二幼兒園明德分班,4,,,,6,
南區,公幼,日新國小附設幼兒園,,,,,,
南區,公幼,龍崗國小附設幼兒園,,,,,,
南區,公幼,省躬國小附設幼兒園,4,,,,3,
南區,公幼,永華國小附設幼兒園,4,,,,,
南區,公幼,新興國小附設幼兒園,5,,,,,
南區,非營利,擇仁非營利幼兒園,2,,,,9,
南區,非營利,水交社非營利幼兒園,8,,,,24,
南區,準公共,寶貝德蘭幼兒園,13,6,1,,,
南區,準公共,新迪斯奈幼兒園,2,2,,,,
南區,準公共,幼芽幼兒園,3,,,,,
南區,準公共,艾的佳幼兒園,,,24,31,,
南區,準公共,大成幼兒園,11,2,1,,,
南區,準公共,金蘋果幼兒園,10,12,1,,,
南區,準公共,欣惠群幼兒園,25,7,9,3,,
南區,準公共,快樂幼兒園,,,,,,
南區,準公共,勝利幼兒園,8,24,1,,,
南區,準公共,紅蘋果幼兒園,12,27,1,1,,
南區,準公共,聖兒幼兒園,,,,,,
南區,準公共,博學幼兒園,7,,4,,,
南區,準公共,新育光幼兒園,12,20,22,20,,
南區,準公共,米爾頓幼兒園,,,,,,
南區,準公共,誠品園幼兒園,6,,3,,,
南區,準公共,欣苗幼兒園,1,,,,,
後壁區,公幼,菁寮國小附設幼兒園,,,,,,
後壁區,公幼,後壁國小附設幼兒園,,,,,1,
後壁區,公幼,安溪國小附設幼兒園,,,,,7,
後壁區,公幼,新東國小附設幼兒園,6,,,,,
後壁區,公幼,新嘉國小附設幼兒園,,,,,1,
後壁區,準公共,名人幼兒園,29,14,7,,,
後壁區,準公共,開心幼兒園,,,,,,
柳營區,公幼,柳營國小附設幼兒園,,,,,3,
柳營區,公幼,果毅國小附設幼兒園,,,,,1,
柳營區,公幼,重溪國小附設幼兒園,2,,,,6,
柳營區,公幼,太康國小附設幼兒園,,,,,,
柳營區,公幼,新山國小附設幼兒園,,,,,4,
柳營區,準公共,欣榮幼兒園,,10,,,,
柳營區,準公共,小袋鼠幼兒園,5,3,2,1,,
柳營區,準公共,華一幼兒園,1,1,,,,
柳營區,準公共,貝特幼兒園,,1,,1,,
柳營區,準公共,夏綠蒂幼兒園,,1,1,,,
將軍區,公幼,漚汪國小附設幼兒園,,,,,,
將軍區,公幼,鯤鯓國小附設幼兒園,,,,,6,
將軍區,公幼,臺南市立將軍幼兒園,20,,,,,
將軍區,公幼,將軍國小附設幼兒園,,,,,8,
將軍區,公幼,苓和國小附設幼兒園,,,,,3,
麻豆區,公幼,安業國小附設幼兒園,,,,,,
麻豆區,公幼,麻豆國小附設幼兒園,,,,,,
麻豆區,公幼,文正國小附設幼兒園,,,,,4,
麻豆區,公幼,北勢國小附設幼兒園,,,,,6,
麻豆區,公幼,大山國小附設幼兒園,,,,,3,
麻豆區,公幼,培文國小附設幼兒園,,,,,,
麻豆區,公幼,臺南市立麻豆幼兒園,,,,,,
麻豆區,公幼,紀安國小附設幼兒園,,,,,1,
麻豆區,公幼,港尾國小附設幼兒園,,,,,1,
麻豆區,非營利,西拉雅非營利幼兒園,0,,,,0,
麻豆區,準公共,皮卡丘幼兒園,,,1,1,,
麻豆區,準公共,大地暘光幼兒園,,11,,,,
善化區,公幼,善化國小附設幼兒園,,,,,,
善化區,公幼,茄拔國小附設幼兒園,,,,,2,
善化區,公幼,善化大同國小附設幼兒園,,,,,9,
善化區,公幼,大成國小附設幼兒園,,,,,,
善化區,公幼,陽明國小附設幼兒園,,,,,2,
善化區,公幼,善糖國小附設幼兒園,,,,,,
善化區,公幼,小新國小附設幼兒園,,,,,,
善化區,公幼,蓮潭國中小附設幼兒園,,,,,,
善化區,準公共,知恩幼兒園,,,,,,
善化區,準公共,慧慈幼兒園,,,1,1,,
善化區,準公共,東東幼兒園,,,,,,
善化區,準公共,灣裡街幼兒園,,,,4,,
新化區,公幼,正新國小附設幼兒園,7,,,,6,
新化區,公幼,新化國小附設幼兒園,7,,,,,
新化區,公幼,那拔國小附設幼兒園,4,,,,,
新化區,公幼,大新國小附設幼兒園,2,,,,,
新化區,準公共,新化維妮幼兒園,9,16,19,10,,
新化區,準公共,多芽幼兒園,,,,,,
新化區,準公共,吉姆幼兒園,3,5,7,,,
新化區,準公共,銘幼幼兒園,4,,,,,
新化區,準公共,育善幼兒園,,6,3,,,
新化區,準公共,萌芽希望種籽幼兒園,,7,6,1,,
新化區,準公共,美士堡幼兒園,,19,,29,,
新市區,公幼,新市國小附設幼兒園,,,,,,
新市區,公幼,大社國小附設幼兒園,,,,,,
新市區,公幼,臺南市立新市幼兒園,,,,,,
新市區,非營利,聯苑員工子女非營利幼兒園,0,,,,0,
新市區,非營利,南科管理局非營利幼兒園,0,0,0,0,,
新市區,準公共,蕃茄幼兒園,,,,,,
新市區,準公共,德林國學幼兒園,,,2,,,
新市區,準公共,心之寶幼兒園,2,,,,,
新市區,準公共,愛心幼兒園,,5,1,,,
新市區,準公共,幼兒佳幼兒園,,,,,,
新營區,公幼,新營國小附設幼兒園,,,,,4,
新營區,公幼,新民國小附設幼兒園,,,,,2,
新營區,公幼,新營新興國小附設幼兒園,,,,,,
新營區,公幼,新進國小附設幼兒園,,,,,7,
新營區,公幼,南梓實驗小學附設幼兒園,1,,,,,
新營區,公幼,土庫國小附設幼兒園,,,,,,
新營區,公幼,公誠國小附設幼兒園,1,,,,,
新營區,公幼,新泰國小附設幼兒園,,,,,,
新營區,公幼,新生國小附設幼兒園,,,,,6,
新營區,非營利,南新非營利幼兒園,1,,,,0,
新營區,準公共,大自然幼兒園,,,,,,
新營區,準公共,哈佛幼兒園,2,,,,,
新營區,準公共,哈佛幼兒園育德分班,,,,,,
新營區,準公共,大臺南婦女會附設幼兒園,4,,,,,
新營區,準公共,小天星幼兒園,25,20,2,5,,
新營區,準公共,愛群幼兒園,,,,,,
楠西區,公幼,楠西國小附設幼兒園,,,,,3,
楠西區,準公共,佳安幼兒園,25,4,3,4,,
楠西區,準公共,吉兒堡幼兒園,7,8,4,1,,
學甲區,公幼,學甲國小附設幼兒園,,,,,,
學甲區,公幼,東陽國小附設幼兒園,,,,,,
學甲區,公幼,臺南市立學甲幼兒園,7,,,,,
學甲區,公幼,宅港國小附設幼兒園,,,,,,
學甲區,公幼,中洲國小附設幼兒園,,,,,,
學甲區,公幼,頂洲國小附設幼兒園,,,,,,
學甲區,非營利,慈母非營利幼兒園,0,0,0,0,,
學甲區,準公共,法源幼兒園,,,,1,,
龍崎區,公幼,龍崎國小附設幼兒園,,,,,4,
歸仁區,公幼,大潭國小附設幼兒園,,,,,,
歸仁區,公幼,歸仁國小附設幼兒園,,,,,3,
歸仁區,公幼,保西國小附設幼兒園,,,,,,
歸仁區,公幼,臺南市立歸仁幼兒園,,,,,,
歸仁區,公幼,歸南國小附設幼兒園,,,,,7,
歸仁區,公幼,文化國小附設幼兒園,,,,,9,
歸仁區,公幼,沙崙高中附設幼兒園,,,,,6,
歸仁區,準公共,新才華幼兒園,,0,2,,,
歸仁區,準公共,至善幼兒園,,18,,,,
歸仁區,準公共,媬能幼兒園,,1,,,,
歸仁區,準公共,至美幼兒園,2,4,3,,,
歸仁區,準公共,吉尼斯幼兒園,,1,,,,
歸仁區,準公共,中美幼兒園,,,,,,
歸仁區,準公共,仁愛幼兒園,16,11,9,10,,
關廟區,公幼,關廟國小附設幼兒園,,,,,,
關廟區,公幼,五甲國小附設幼兒園,,,,,7,
關廟區,公幼,文和實驗小學附設幼兒園,,,,,3,
關廟區,公幼,崇和國小附設幼兒園,,,,,1,
關廟區,公幼,臺南市立關廟幼兒園,,,,,,
關廟區,公幼,深坑國小附設幼兒園,,,,,,
關廟區,公幼,保東國小附設幼兒園,,,,,8,
關廟區,準公共,安格堡幼兒園,,1,,,,
關廟區,準公共,正大幼兒園,3,,,,,
鹽水區,公幼,鹽水國小附設幼兒園,,,,,,
鹽水區,公幼,歡雅國小附設幼兒園,,,,,5,
鹽水區,公幼,坔頭港國小附設幼兒園,,,,,11,
鹽水區,公幼,岸內國小附設幼兒園,,,,,4,
鹽水區,公幼,文昌國小附設幼兒園,,,,,13,
鹽水區,公幼,月津國小附設幼兒園,,,,,,
鹽水區,公幼,竹埔國小附設幼兒園,,,,,,
鹽水區,公幼,仁光國小附設幼兒園,,,,,13,
鹽水區,準公共,新育人幼兒園,4,,,,,
