區別,幼兒園名稱,核准設立日期,設立許可文號,幼兒園電話,分機,幼兒園住址,核定總招收人數
新營區,臺南市私立萬是幼兒園,19980414,府社福字第064091號,(06)6370106,,[730]臺南市新營區民權里17鄰武昌街34號,170
新營區,臺南市私立哈佛幼兒園,19920922,府社福字第127993號,(06)6569481,,[730]臺南市新營區三仙里30鄰育德十一街37號,100
新營區,臺南市私立哈佛幼兒園育德分班,20221121,南市教特(一)字第1111484449號,(06)6569481,,[730]臺南市新營區三仙里12鄰育德11街46號,16
新營區,臺南市私立立上幼兒園,19910412,府社福字第43253號,(06)6329771,,[730]臺南市新營區大宏里8鄰文昌街40號,75
新營區,財團法人天主教聖母無原罪方濟傳教修女會附設臺南市私立樂仁幼兒園,19741003,南府教國字第97536號,(06)6323733,,[730]臺南市新營區大宏里8鄰民族路8號,240
新營區,大臺南婦女會附設臺南市私立幼兒園,19921218,府社福字第177776號,(06)6569016,,[730]臺南市新營區民生里7鄰民生路163巷16號、18號,80
新營區,臺南市南新非營利幼兒園(委託財團法人天主教聖母無原罪方濟傳教修女會辦理),20200930,南市教特(一)字第1091200321號,(06)6560938,,[730]臺南市新營區民生里4鄰三興街39號,152
新營區,財團法人佛光山文教基金會附設臺南市私立小天星幼兒園,20001114,府教特字第184252號,(06)6373151,,[730]臺南市新營區埤寮里15鄰長榮路一段510號,240
新營區,臺南市私立新天使幼兒園,20040128,府教特字第0930015763號,(06)6359856,,[730]臺南市新營區護鎮里2鄰中正路479巷45號,180
新營區,臺南市私立大華幼兒園,19840312,府教國字第22979號,(06)6529758,,[730]臺南市新營區太北里1鄰太子宮1-11號,120
新營區,臺南市私立愛群幼兒園,20010730,府教特字第111120號,(06)6572988,,[730]臺南市新營區新北里29鄰金華路二段81號,150
新營區,臺南市新營區農會附設臺南市私立幼兒園,20110923,府社兒字第1000679783號,(06)6561820,,[730]臺南市新營區新北里13鄰周武街79巷21弄6號,80
新營區,臺南市私立大自然幼兒園,19980722,府社福字第129640號,(06)6564726,,[730]臺南市新營區新南里28鄰明清二街46號,60
新營區,臺南市私立新營小太陽幼兒園,19950322,府教國字第044305號,(06)6568889,,[730]臺南市新營區新南里17鄰隋唐街69巷22號,180
新營區,臺南市私立小太陽東興幼兒園,19991210,府教國字第211499號,(06)6352221,,[730]臺南市新營區新東里28鄰東興九街56號,211
鹽水區,臺南市私立新育人幼兒園,20001005,府社福字第161743號,(06)6529315,,[737]臺南市鹽水區岸內里7鄰和平路632巷6弄15號,35
白河區,臺南市私立舉人幼兒園,19941028,府社福字第175849號,(06)6830201,,[732]臺南市白河區白河里3鄰富民路37號,100
白河區,臺南市私立日光幼兒園,20060320,府社福字第0950057889號,(06)6856811,,[732]臺南市白河區庄內里7鄰中山路491號,130
白河區,臺南市私立金典幼兒園,20170502,南市教特(一)字第1060430540號,(06)6830033,,[732]臺南市白河區庄內里7鄰中山路652號,120
柳營區,臺南市私立小袋鼠幼兒園,20020515,府社福字第0910077373號,(06)6225104,,[736]臺南市柳營區光福里13鄰柳營路二段70號,50
柳營區,臺南市私立欣榮幼兒園,19820503,府教國字第39097號,(06)6222456,,[736]臺南市柳營區光福里25鄰132-12號,150
柳營區,臺南市私立夏綠蒂幼兒園,20070119,府社福字第0960018154號,(06)6226209,,[736]臺南市柳營區東昇里23鄰中山西路一段302號,90
柳營區,臺南市私立華一幼兒園,19931231,府社福字第204447號,(06)6223123,,[736]臺南市柳營區八翁里13鄰中山西路三段490巷27號,100
柳營區,臺南市私立貝特幼兒園,20070605,府教特字第0960121172號,(06)6235197,,[736]臺南市柳營區篤農里19鄰義士路ㄧ段661號,108
後壁區,臺南市私立開心幼兒園,19921113,府社福字第156633號,(06)6872793,,[731]臺南市後壁區後壁里6鄰173-15號,186
後壁區,臺南市私立名人幼兒園,19850112,府社福字第145788號,(06)6881063,,[731]臺南市後壁區嘉田里9鄰89-5號,100
東山區,臺南市私立幸福幼兒園,20030609,府社福字第0920093186號,(06)6803111,,[733]臺南市東山區東山里21鄰東山320號,300
東山區,臺南市私立領袖學院慈仁幼兒園,19920321,府社福字第36472號,(06)6800853,,[733]臺南市東山區大客里20鄰凹仔腳47號,180
麻豆區,臺南市私立皮卡丘幼兒園,19920120,府社福字第8923號,(06)5726969,,[721]臺南市麻豆區巷口里9鄰新生南路672號,80
麻豆區,國立曾文高級家事商業職業學校附設臺南市私立幼兒園,20010321,府社福字第41516號,(06)5712484,,[721]臺南市麻豆區中興里16鄰和平路9號,90
麻豆區,臺南市私立福祐幼兒園,19990121,府社福字第13259號,(06)5720101,,[721]臺南市麻豆區南勢里2鄰關帝廟14-18號,204
麻豆區,臺南市西拉雅非營利幼兒園(委託社團法人臺南市兒童體能藝術人文教育發展協會辦理),20200901,南市教特(一)字第1091064197號,(06)5711939,,[721]臺南市麻豆區南勢里17鄰南勢36之211號,106
麻豆區,臺南市私立大地暘光幼兒園,20110916,府社兒字第1000679638號,(06)5700657,,[721]臺南市麻豆區港尾里15鄰客子寮293號,80
麻豆區,臺南市私立小天使幼兒園,19880401,府社福字第37170號,(06)5720359,,[721]臺南市麻豆區磚井里13鄰140-38號,100
麻豆區,財團法人天主教方濟各會附設臺南市私立麻豆樂人幼兒園,19820401,府教國字第27602號,(06)5722142,,[721]臺南市麻豆區新興里12鄰中華街22號(舊大樓建號489棟1樓至3樓；新大樓建號585棟1樓至2樓),200
下營區,臺南市私立群英幼兒園,19830602,府教國字第55793號,(06)6891234,,[735]臺南市下營區仁里里22鄰仁里街122巷23號,120
下營區,臺南市私立小圓圓幼兒園,19930520,府社福字第74595號,(06)6893112,,[735]臺南市下營區新興里11鄰大同街22巷11號、大同街10、12號,230
下營區,臺南市私立欽智幼兒園,19951211,府社福字第199563號,(06)6899607,,[735]臺南市下營區營前里21鄰健康路221巷22號,100
六甲區,臺南市私立佑幼幼兒園,19940609,府社福字第89224號,(06)6989651,,[734]臺南市六甲區甲南里5鄰珊瑚路37號,120
六甲區,臺南市私立安心幼兒園,19980317,府教國字第047387號,(06)6994517,,[734]臺南市六甲區二甲里21鄰光復街76巷25號,90
六甲區,臺南市私立哈比斯特幼兒園,19831019,府社福字第105366號,(06)6984678,,[734]臺南市六甲區二甲里15鄰光明街23號,120
官田區,臺南市私立史丹佛幼兒園,20020131,府社福字第910018041號,(06)6994999,,[720]臺南市官田區二鎮里13鄰56-39號,260
官田區,臺南市私立小森林成長幼兒園,19970624,府教國字第108070號,(06)6989716,,[720]臺南市官田區二鎮里8鄰二鎮69之68號,220
官田區,臺南市私立健光幼兒園,19880118,府教國字第7561號,(06)5790079,,[720]臺南市官田區隆本里15鄰興隆街145號,105
官田區,臺南市私立培德幼兒園,19781019,府教國字第109360號,(06)5791294,,[720]臺南市官田區隆本里15鄰興隆街101號,90
佳里區,臺南市私立維多利亞幼兒園,20000111,府社福字第5676號,(06)7222126,,[722]臺南市佳里區建南里21鄰祥和五街71號,95
佳里區,臺南市私立佳里劍橋幼兒園,19960327,府教國字第050700號,(06)7214147,,[722]臺南市佳里區建南里26鄰公園路12號,165
佳里區,臺南市私立善行幼兒園,19791016,府教國字第101498號,(06)7221537,,[722]臺南市佳里區建南里1鄰中和街92號,60
佳里區,臺南市伯利恆佳里非營利幼兒園(委託財團法人臺南市私立天主教伯利恆社會福利基金會辦理),20200901,南市教特(一)字第1091043756號,(06)7215005,,[722]臺南市佳里區建南里6鄰安南路546號,166
佳里區,臺南市私立勁寶兒唯馨幼兒園,20061212,府教特字第0950264392號,(06)7223189,,[722]臺南市佳里區安西里30鄰光華街130巷47弄50號,120
佳里區,臺南市私立威爾森佳里幼兒園,19991116,府教國字第197448號,(06)7215811,,[722]臺南市佳里區安西里6鄰安西49號之41(1-2樓)、49之42號(1樓),210
佳里區,臺南市私立佳里崧安幼兒園,19951122,府社福字第189122號,(06)7235691,,[722]臺南市佳里區安西里36鄰佳西路392號,120
佳里區,臺南市私立立人幼兒園,19861211,府教國字第145772號,(06)7230575,,[722]臺南市佳里區安西里30鄰76-2號,127
佳里區,臺南市私立佳祥幼兒園,19961014,府社福字第178356號,(06)7226883,,[722]臺南市佳里區安西里20鄰公園路509號,60
佳里區,臺南市私立聖三幼兒園,19781221,府教國字第136448號,(06)7211964,,[722]臺南市佳里區安西里9鄰和平街155號,120
佳里區,臺南市私立佳佳幼兒園,19821217,府教國字第133737號,(06)7221989,,[722]臺南市佳里區文新里9鄰新生路628巷98號,242
佳里區,臺南市私立泑潛幼兒園,19880901,府教國字第102370號,(06)7222343,,[722]臺南市佳里區文新里10鄰安西134號,139
學甲區,臺南市私立諾貝爾幼兒園,19971105,府教國字第193932號,(06)7836622,,[726]臺南市學甲區慈福里13鄰中華路二段283號,120
學甲區,臺南市慈母非營利幼兒園(財團法人臺南市私立天主教伯利恆社會福利基金會申請辦理),19920907,府教國字第121070號,(06)7835953,,[726]臺南市學甲區新達里5鄰華宗路517號,105
學甲區,臺南市私立法源幼兒園,19750619,府社福字第64655號,(06)7835703,,[726]臺南市學甲區新達里6鄰法源路27號,200
西港區,臺南市私立吉姆大秝荳幼兒園,19781104,府社福字第122541號,(06)7951607,,[723]臺南市西港區西港里7鄰中山路352號,60
西港區,臺南市私立福祺幼兒園,19950119,府社福字第9708號,(06)7952436,,[723]臺南市西港區慶安里4鄰中州27-1號,170
西港區,臺南市私立哈佛人文藝術幼兒園,19990717,府教國字第126078號,(06)7957371,,[723]臺南市西港區慶安里8鄰新興街107巷50號,414
七股區,臺南市七農非營利幼兒園(臺南市七股區農會申請辦理),19700101,府社福字第175604號,(06)7871711,312,[724]臺南市七股區大埕里6鄰272號,131
北門區,臺南市北門區農會附設臺南市私立幼兒園,20031105,府社福字第0920188115號,(06)7860472,,[727]臺南市北門區北門里21鄰118-1號,120
新化區,臺南市私立新化維妮幼兒園,20151013,南市教特(一)字第1040977848號,(06)5905676,,[712]臺南市新化區武安里3鄰和平街85號,75
新化區,臺南市私立萌芽希望種籽幼兒園,20101108,府社福字第0990285230號,(06)5907850,,[712]臺南市新化區東榮里11鄰復興路240號、242號,75
新化區,臺南市私立美士堡幼兒園,20000308,府教國字第037021號,(06)5802099,,[712]臺南市新化區東榮里21鄰復興路187巷9號,588
新化區,臺南市私立吉姆幼兒園,20030505,府社福字第0920071799號,(06)5903913,,[712]臺南市新化區東榮里22鄰中興路755-1號,105
新化區,臺南市私立銘幼幼兒園,20000619,府社福字第96057號,(06)5985216,,[712]臺南市新化區太平里4鄰中正路562號,170
新化區,臺南市私立育善幼兒園,19990324,府社福字第49975號,(06)5985428,,[712]臺南市新化區太平里11鄰正新北路19號、21號、29號,210
新化區,臺南市私立多芽幼兒園,20230823,南市教特(一)字第1121084029號,(06)5988699,,[712]臺南市新化區太平里5鄰民生路234巷18號,152
新化區,臺南市私立聖名幼兒園,19781125,府教國字第120361號,(06)5982235,,[712]臺南市新化區協興里4鄰中山路532號,90
善化區,臺南市私立善化華盛頓幼兒園,20041011,府社福字第0930194402號,(06)5853718,,[741]臺南市善化區光文里25鄰公園路85號,148
善化區,臺南市私立灣裡街幼兒園,20040809,府社福字第0930147617號,(06)5837047,,[741]臺南市善化區光文里9鄰光文路3號,250
善化區,臺南市私立慧慈幼兒園,19820714,府教國字第68735號,(06)5817144,,[741]臺南市善化區文昌里7鄰文昌路65-6號,180
善化區,台灣積體電路製造股份有限公司職工福利委員會附設臺南市私立台積電幼兒園,20080118,府社福字第0970016928號,(06)5092011,,[741]臺南市善化區南關里9鄰南科北路1號之1,210
善化區,臺南市私立東東幼兒園,19960720,府社福字第123904號,(06)5810988,,[741]臺南市善化區南關里5鄰永安路91巷4號,150
善化區,臺南市私立聖保羅幼兒園,19990310,府教國字第40890號,(06)5811688,,[741]臺南市善化區西關里13鄰興農路75號,197
善化區,臺南市私立知恩幼兒園,20191022,南市教特(一)字第1081197582號,(06)5813360,,[741]臺南市善化區文正里7鄰陽明路142巷41號,210
新市區,臺南市私立愛迪生幼兒園,19970728,府教國字第131823號,(06)5999313,,[744]臺南市新市區新市里11鄰中正路323巷22弄2號,180
新市區,臺南市私立德林國學幼兒園,20010523,府教特字第075177號,(06)5896306,,[744]臺南市新市區新市里12鄰中正路301巷15弄23號,266
新市區,臺南市私立幼兒佳幼兒園,20210409,南市教特(一)字第1100354928號,(06)5894928,,[744]臺南市新市區新和里37鄰富林路138號,120
新市區,臺南市私立活水樹谷幼兒園,20190320,南市教特(一)字第1080308853號,(06)5897396,2,[744]臺南市新市區豐華里5鄰活水路11號,304
新市區,國家科學及技術委員會南部科學園區管理局社區中心員工子女非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),20080122,府社福字第0970021470號,(06)5053586,,[744]臺南市新市區三舍里8鄰大順三路125號,65
新市區,臺南市私立樂芙幼兒園,20210420,南市教特(一)字第1100357351號,(06)5891598,,[744]臺南市新市區三舍里7鄰三舍195之57號,242
新市區,國家科學及技術委員會南部科學園區管理局聯苑員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),20221014,南市教特(一)字第1111251819號,(06)5050828,,[744]臺南市新市區三舍里8鄰大順六路460巷2號,212
新市區,臺南市私立心之寶幼兒園,19980824,府社福字第150359號,(06)5998100,,[744]臺南市新市區大營里13鄰大營131-51號,70
新市區,臺南市私立曉信幼兒園,20191014,南市教特(一)字第1081167341號,(06)5851264,,[744]臺南市新市區大營里12鄰龍目井路99號,299
新市區,臺南市私立愛心幼兒園,19970925,府社福字第169931號,(06)5998635,,[744]臺南市新市區潭頂里14鄰537-13號,60
新市區,臺南市私立新寶幼兒園,19981118,府社福字第205871號,(06)5011671,,[744]臺南市新市區港墘里6鄰民族路182號,90
新市區,臺南市私立蕃茄幼兒園,19991221,府教國字第217122號,(06)5972567,,[744]臺南市新市區永就里9鄰永就94-6號,150
安定區,臺南市私立筑園幼兒園,19990531,府社福字第94602號,(06)5924237,,[745]臺南市安定區蘇林里19鄰224-2號,25
安定區,臺南市私立活水幼兒園,20011101,府社福字第163681號,(06)5925088,,[745]臺南市安定區港尾里10鄰港子尾54-5號,390
安定區,臺南市私立小博士幼兒園,20001215,府社福字第203713號,(06)5922090,,[745]臺南市安定區港尾里3鄰15-12號,130
安定區,臺南市私立倍幼安幼兒園,20001226,府教特字第207118號,(06)5933615,,[745]臺南市安定區中榮里2鄰17-3號,150
安定區,臺南市私立慈暉幼兒園,19800731,府教國字第84841號,(06)5934028,,[745]臺南市安定區港口里14鄰332-4號,241
安定區,臺南市私立米琪幼兒園,19990127,府社福字第15555號,(06)5930216,,[745]臺南市安定區港南里3鄰港口20-1號,80
安定區,臺南市直加弄非營利幼兒園(委託台南縣幼兒托育職業工會辦理),20140725,南市教特(一)字第1030708829號,(06)5939599,,[745]臺南市安定區大同里6鄰46-2號,152
山上區,臺南市私立德成幼兒園,20070214,府教特字第0960037606號,(06)5783386,,[743]臺南市山上區新莊里6鄰大庄1-70號,142
玉井區,臺南市私立貝兒幼兒園,20031125,府社福字第0920200179號,(06)5741287,,[714]臺南市玉井區玉田里40鄰中華路232號,100
玉井區,臺南市私立德蕾幼兒園,19790629,府教國字第71414號,(06)5747195,,[714]臺南市玉井區玉田里18鄰民生路432號,90
玉井區,臺南市私立玉沙幼兒園,19980224,府社福字第032854號,(06)5747534,,[714]臺南市玉井區沙田里1鄰3-3號,145
楠西區,臺南市私立吉兒堡幼兒園,20001121,府教特字第188570號,(06)5752297,,[715]臺南市楠西區楠西里4鄰民族路135號,48
楠西區,臺南市私立佳安幼兒園,20000831,府社福字第139706號,(06)5751626,,[715]臺南市楠西區東勢里17鄰信義路57巷40號,120
南化區,臺南市私立寶貝熊幼兒園,20080307,府社福字第0970052525號,(06)5771630,,[716]臺南市南化區南化里4鄰南化47-6號,35
仁德區,臺南市私立聖母幼兒園,19790219,府教國字第17170號,(06)2715103,,[717]臺南市仁德區土庫里8鄰土庫路26號,120
仁德區,臺南市私立鴻仁幼兒園,19990320,府社福字第47923號,(06)2723511,,[717]臺南市仁德區土庫里9鄰太子二街46號,90
仁德區,臺南市私立聖宜幼兒園,19951028,府教國字第176278號,(06)2791572,,[717]臺南市仁德區仁德里3鄰仁德五街6號,196
仁德區,私立中華醫事科技大學附設臺南市幼兒園,20011002,府社福字第145105號,(06)2671214,910,[717]臺南市仁德區仁德里19鄰文華一街89號,120
仁德區,臺南市私立仁義幼兒園,19750623,府教國字第60254號,(06)2794392,,[717]臺南市仁德區仁義里41鄰中正路二段936巷14號,60
仁德區,臺南市私立洧昇幼兒園,20010605,府教特字第81495號,(06)2706355,,[717]臺南市仁德區仁義里17鄰義林二街116號,90
仁德區,臺南市私立大宗幼兒園,19871123,府教國字第138456號,(06)2704029,,[717]臺南市仁德區仁義里20鄰中山路328巷11弄2號,75
仁德區,財團法人中華民國佛教慈濟慈善事業基金會附設臺南市私立台南大愛幼兒園,20020719,府社福字第0910115876號,(06)2493578,,[717]臺南市仁德區仁義里2鄰仁義路226號,140
仁德區,臺南市私立明日之星幼兒園,20140813,南市教特(一)字第1030732965號,(06)2796855,,[717]臺南市仁德區仁義里2鄰仁義三街275號,105
仁德區,臺南市私立維也納幼兒園,19990610,府教國字第101388號,(06)2798432,5,[717]臺南市仁德區新田里7鄰新田一街61巷46號,220
仁德區,臺南市私立小咪咪幼兒園,20040915,府社福字第0930175292號,(06)2903311,,[717]臺南市仁德區後壁里34鄰德洋路83號,120
仁德區,臺南市私立熊寶寶幼兒園,19980529,府教國字第93824號,(06)2901357,,[717]臺南市仁德區後壁里38鄰德洋二街39巷16弄30號,90
仁德區,臺南市私立愛迪堡幼兒園,19970707,府教國字第117693號,(06)2798150,0000,[717]臺南市仁德區上崙里23鄰德崙路120號,240
仁德區,嘉藥學校財團法人嘉南藥理大學附設臺南市私立嘉藥幼兒園,19950512,府社福字第75032號,(06)2667331,,[717]臺南市仁德區保安里11鄰二仁路一段60號,160
仁德區,臺南市私立初日幼兒園,20220104,南市教特(一)字第1101518607號,(06)2666743,,[717]臺南市仁德區成功里5鄰虎山一街66號,180
仁德區,臺南市私立仁德聖兒幼兒園,19811215,府教國字第131564號,(06)2667832,,[717]臺南市仁德區大甲里20鄰中正西路493號,90
仁德區,臺南市私立寶琪幼兒園,20011008,府社福字第149142號,(06)2666122,,[717]臺南市仁德區中洲里3鄰28-8號,60
歸仁區,臺南市私立吉尼斯幼兒園,19960708,府教國字第116691號,(06)3300708,,[711]臺南市歸仁區南保里31鄰民權八街43號,263
歸仁區,臺南市私立育仁幼兒園,19901226,府教國字第161493號,(06)2390433,,[711]臺南市歸仁區南保里52鄰民權南路116、118、116之1號,271
歸仁區,臺南市私立歸園幼兒園,19880426,府教國字第48007號,(06)2305739,,[711]臺南市歸仁區後市里33鄰文化街二段55號,390
歸仁區,臺南市私立中美幼兒園,19990504,府教國字第076663號,(06)3307731,,[711]臺南市歸仁區後市里2鄰大順街120號,232
歸仁區,臺南市私立至美幼兒園,19930630,府教國字第98691號,(06)3308558,,[711]臺南市歸仁區辜厝里10鄰民權南路191巷45號,90
歸仁區,臺南市私立媬能幼兒園,20061013,府社福字第0950217863號,(06)3309199,,[711]臺南市歸仁區許厝里11鄰公園路157巷60號,40
歸仁區,臺南市私立仁愛幼兒園,20010730,府教特字第111121號,(06)3303222,,[711]臺南市歸仁區看西里23鄰成功三街255號,90
歸仁區,臺南市私立佳音幼兒園,19840421,府教國字第39734號,(06)2712990,,[711]臺南市歸仁區大廟里6鄰大廟一街149號,30
歸仁區,臺南市私立至善幼兒園,19820724,府教國字第77912號,(06)2304455,,[711]臺南市歸仁區南興里3鄰民生北街130號,420
歸仁區,臺南市私立新才華幼兒園,20181022,南市教特(一)字第1071163956號,(06)3305672,,[711]臺南市歸仁區歸南里3鄰中正南路一段588號,221
歸仁區,臺南市私立巨光幼兒園,19840827,府社福字第85511號,(06)2303489,,[711]臺南市歸仁區文化里17鄰文化北街162號,160
關廟區,臺南市私立正大幼兒園,19851102,府教國字第131899號,(06)5956906,,[718]臺南市關廟區北勢里13鄰仁愛路625號,95
關廟區,臺南市私立昇良幼兒園,19910521,府社福字第62255號,(06)5959961,,[718]臺南市關廟區北勢里7鄰花園三街101號,135
關廟區,臺南市私立真善美幼兒園,19910212,府教國字第16650號,(06)5959054,,[718]臺南市關廟區五甲里16鄰東安街136、138號,228
關廟區,臺南市私立松安幼兒園,19840423,府教國字第39733號,(06)5955432,,[718]臺南市關廟區東勢里6鄰松安街63巷2號,90
關廟區,臺南市私立安格堡幼兒園,20201216,南市教特(一)字第1091437254號,(06)5951100,,[718]臺南市關廟區松腳里14鄰松安街100號,191
關廟區,臺南市私立明德幼兒園,19860108,府教國字第152469號,(06)5956277,,[718]臺南市關廟區南花里12鄰明德街19號,30
永康區,臺南市私立萊恩幼兒園,19950821,府社福字第136810號,(06)2326894,,[710]臺南市永康區五王里29鄰振興路93號,165
永康區,臺南市私立中華幼兒園,19811125,府教國字第127275號,(06)3026529,,[710]臺南市永康區五王里2鄰成功路35號,90
永康區,臺南市私立愛佳幼兒園,19821216,府教國字第130786號,(06)2323341,,[710]臺南市永康區網寮里19鄰永大一路366號,150
永康區,臺南市私立永康幼兒園,19840517,府教國字第49532號,(06)2011565,,[710]臺南市永康區永康里37鄰永大路二段1220號,210
永康區,臺南市私立侑之苑幼兒園,19861028,府社福字第128853號,(06)2019165,,[710]臺南市永康區永康里42鄰文化路82號,170
永康區,臺南市私立幼華幼兒園,19840710,府教國字第74919號,(06)2322576,,[710]臺南市永康區埔園里2鄰中山路94巷7號,108
永康區,臺南市私立德安幼兒園,19970418,府教國字第064695號,(06)2013597,,[710]臺南市永康區埔園里2鄰中山路94巷5號,150
永康區,臺南市私立英格堡幼兒園,19960328,府社福字第52044號,(06)2029077,,[710]臺南市永康區埔園里29鄰龍埔街291巷27號,140
永康區,臺南市私立英格爾幼兒園,20180221,南市教特(一)字第1070204293號,(06)2029017,,[710]臺南市永康區埔園里29鄰龍埔街291巷25號,79
永康區,臺南市私立嬌生幼兒園,20060309,府教特字第0950050154號,(06)2044578,,[710]臺南市永康區大橋里3鄰大橋二街85號,60
永康區,臺南市私立天才幼兒園,19860106,府社福字第2550號,(06)2329501,,[710]臺南市永康區大橋里28鄰中華路602號,180
永康區,臺南市私立白天鵝幼兒園,20020128,府教特字第0910016264號,(06)2310906,,[710]臺南市永康區大橋里2鄰大橋一街73巷109號,162
永康區,臺南市私立艾迪斯幼兒園,19891110,府教國字第146653號,(06)2530325,,[710]臺南市永康區?行里12鄰鹽洲一街27號,146
永康區,臺南市私立史塔納幼兒園,19970319,府社福字第045940號,(06)2539394,,[710]臺南市永康區?行里31鄰仁愛街46-1、46-2號,40
永康區,私立台南家專學校財團法人台南應用科技大學附設臺南市漢家幼兒園,19831221,府教國字第131678號,(06)2534293,,[710]臺南市永康區?行里20鄰中正路529號,240
永康區,臺南市私立輔仁幼兒園,19830201,府教國字第12345號,(06)2714086,,[710]臺南市永康區東灣里37鄰大灣一街341號,228
永康區,臺南市私立永康文心幼兒園,19950803,府社福字第125809號,(06)2711994,,[710]臺南市永康區西灣里44鄰永華路191號,130
永康區,臺南市私立童園幼兒園,19970211,府教國字第023001號,(06)2731561,,[710]臺南市永康區西灣里27鄰永大路二段365號,120
永康區,臺南市私立資優生幼兒園,20220104,南市教特(一)字第1101573137號,(06)2030458,,[710]臺南市永康區西灣里21鄰永善三街1號,420
永康區,臺南市私立卓越幼兒園,20220304,南市教特(一)字第1110190973號,(06)2316551,,[710]臺南市永康區西灣里21鄰永榮一街69號,255
永康區,臺南市私立優學幼兒園,19960719,府教國字第124846號,(06)2733524,,[710]臺南市永康區南灣里43鄰大灣路537巷10號,210
永康區,私立崑山科技大學附設臺南市幼兒園,20041230,府教特字第0930255679號,(06)2727175,319,[710]臺南市永康區崑山里8鄰崑大路195號,90
永康區,臺南市私立永強繪本藝術幼兒園,19990629,府社福字第113875號,(06)2723287,,[710]臺南市永康區崑山里43鄰大灣路942巷371弄38號,200
永康區,臺南市私立育智幼兒園,19950520,府社福字第80170號,(06)2732286,,[710]臺南市永康區崑山里27鄰大灣路1102巷17弄119號,250
永康區,臺南市私立愛幼幼兒園,19810820,府教國字第85951號,(06)2729123,,[710]臺南市永康區崑山里37鄰大仁街188巷1號,234
永康區,臺南市私立幼幼世界幼兒園,20051129,府社福字第0940262340號,(06)2737977,,[710]臺南市永康區崑山里48鄰永華路32巷23號,35
永康區,私立崑山科技大學附屬臺南市崑山哈佛幼兒園,20221104,南市教特(一)字第1111392167號,(06)2721010,,[710]臺南市永康區崑山里3鄰崑大路195之1號,98
永康區,臺南市私立上恩幼兒園,20001025,府社福字第173957號,(06)2057007,,[710]臺南市永康區北灣里35鄰大灣路40巷76號,150
永康區,臺南市私立聖心幼兒園,19820610,府教國字第56305號,(06)2710096,,[710]臺南市永康區北灣里4鄰信義街102號,90
永康區,臺南市永仁非營利幼兒園(委託社團法人台南市基督教青年會辦理),20210118,南市教特(一)字第1100130070號,(06)3122552,,[710]臺南市永康區復興里14鄰興國街181號,182
永康區,臺南市私立永康芝?街幼兒園,19950222,府教國字第026291號,(06)3129904,,[710]臺南市永康區復國里5鄰復國一路90巷41號,150
永康區,臺南市私立傑登幼兒園,20090107,府社福字第0980004445號,(06)3115651,,[710]臺南市永康區復國里20鄰復國一路278號,216
永康區,臺南市私立傑尼爾幼兒園,19991230,府教國字第221959號,(06)3127438,,[710]臺南市永康區復國里28鄰復國一路197號,285
永康區,臺南市私立吉得堡幼兒園,19950628,府教國字第102516號,(06)2718404,,[710]臺南市永康區西勢里7鄰富強路一段185巷14號,60
永康區,臺南市私立新生代幼兒園,19920721,府社福字第98640號,(06)3128797,,[710]臺南市永康區中興里18鄰中華二路215巷15號,99
永康區,臺南市私立敦煌幼兒園,19961123,府社福字第202519號,(06)3133266,,[710]臺南市永康區中興里19鄰中山東路350巷1號,190
永康區,臺南市私立愛兒幼兒園,19820430,府教國字第44132號,(06)2321308,,[710]臺南市永康區龍潭里30鄰龍國街387號,120
永康區,臺南市私立二王幼兒園,20041130,府社福字第0930232709號,(06)2310007,,[710]臺南市永康區二王里11鄰永二街393巷2號,70
永康區,臺南市私立星堡幼兒園,20050303,府教特字第0940043795號,(06)3038535,,[710]臺南市永康區三合里19鄰中山東路239號,109
